"canonicalId","family","tradition","archetype","strongSourceCount","anySourceCount","sourcePages"
"CAN-179","Africa","West Africa","Jùjú / Yoruba-derived Drum-Set","4","4","PDF-73cfc4ffc14c:7|10|57|60|61|62|65; PDF-d9d0cc68c73f:6|9|56|59|60|61|64; PDF-f97e3e83bf02:12|51|72|89; PDF-3eb3fd314955:2"
"CAN-180","Africa","Central Africa","Soukous","0","0",""
"CAN-181","Africa","Central Africa","Makossa","0","1","PDF-595703bb31c1:37"
"CAN-182","Africa","Central Africa","Bikutsi","0","1","PDF-595703bb31c1:37"
"CAN-183","Africa","Central Africa","Mangambe","1","2","PDF-e9fb2404ba25:109|110; PDF-595703bb31c1:37"
"CAN-184","Africa","Southern Africa","Mbaqanga","0","0",""
"CAN-185","Africa","Southern Africa","South African House","0","0",""
"CAN-186","Africa","Southern Africa","Amapiano","0","0",""
"CAN-187","Africa","Indian Ocean","Sega","0","0",""
"CAN-188","Africa","Indian Ocean","Maloya","0","0",""
"CAN-189","North Africa / Middle East","North Africa","Gnawa Drum-Set","0","0",""
"CAN-190","North Africa / Middle East","North Africa","Maghreb Chaabi","0","0",""
"CAN-191","North Africa / Middle East","North Africa","Raï","0","0",""
"CAN-192","North Africa / Middle East","Arabic rhythmic cycles","Maqsum","0","0",""
"CAN-193","North Africa / Middle East","Arabic rhythmic cycles","Saidi","0","0",""
"CAN-194","North Africa / Middle East","Arabic rhythmic cycles","Malfuf","0","0",""
"CAN-195","North Africa / Middle East","Arabic rhythmic cycles","Ayoub","0","0",""
